Date,Content,Video title,Video publish time,Duration,Views from playlist
2022-03-11, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-12, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-13, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-14, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-15, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-16, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-17, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-18, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-19, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-20, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-21, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-22, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-23, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-24, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-25, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-26, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-27, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-28, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-29, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-30, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-31, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-01, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-02, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-03, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-04, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-05, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-06, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-07, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-08, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-09, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-10, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-11, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-12, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-13, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-14, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-15, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-16, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-17, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-18, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-19, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-20, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-21, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-22, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-23, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-24, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-25, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-26, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-27, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-28, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-29, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-04-30, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-01, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-02, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-03, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-04, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-05, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-06, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-07, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-08, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-09, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-10, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-11, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-12, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-13, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-14, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-15, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-16, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-17, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-18, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-19, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-20, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-21, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-22, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-23, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-24, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-25, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-26, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-27, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-28, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-29, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-30, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-05-31, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-01, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-02, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-03, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-04, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-05, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-06, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-07, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-08, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-09, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-10, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-11, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-12, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-13, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-14, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-15, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-16, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-17, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-18, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-19, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-20, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-21, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-22, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-23, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-24, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-25, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-26, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-27, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-28, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-29, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-06-30, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-01, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-02, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-03, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-04, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-05, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-06, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-07, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-08, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-09, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-10, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-11, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-12, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-13, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-14, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-15, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-16, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-17, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-18, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-19, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-20, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-21, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-22, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-23, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-24, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-25, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-26, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-27, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-28, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-29, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-30, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-07-31, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-01, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-02, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-03, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-04, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-05, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-06, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-07, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-08, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-09, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-10, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-11, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-12, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-13, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-14, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-15, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-16, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-17, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-18, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-19, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-20, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-21, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-22, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-23, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-24, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-25, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-26, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-27, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-28, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-29, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-30, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-08-31, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-01, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-02, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-03, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-04, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-05, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-06, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-07, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-08, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-09, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-10, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-11, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-12, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-13, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-14, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-15, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-16, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-17, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-18, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-19, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-20, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-21, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-22, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-23, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-24, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-25, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-26, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-27, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-28, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-29, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-09-30, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-10-01, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
